state,may_transition_to,readiness
NOT_STARTED,TRAINING_ASSIGNED,false
TRAINING_ASSIGNED,TRAINING_COMPLETED,false
TRAINING_COMPLETED,QUALIFICATION_ASSIGNED,false
QUALIFICATION_ASSIGNED,QUALIFICATION_SUBMITTED,false
QUALIFICATION_SUBMITTED,QUALIFICATION_PASS|QUALIFICATION_FAIL_RETRAIN_ALLOWED|QUALIFICATION_FAIL_FINAL|QUALIFICATION_INVALID|QUALIFICATION_REVIEW_REQUIRED,false
QUALIFICATION_PASS,READY_IF_ALL_CONTROLS,conditional
QUALIFICATION_FAIL_RETRAIN_ALLOWED,TRAINING_ASSIGNED|QUALIFICATION_ASSIGNED,false
QUALIFICATION_FAIL_FINAL,NOT_STARTED,false
